,Ind_spread,Us_spread
MonthlyPrice_.NSEI,0.009282714430093986,3.926343250526543e-09
MonthlyPrice_.NIFMDCP100,0.029092133878673376,1.8777096766342538e-08
MonthlyPrice_.NIFSMCP100,0.12261706103195569,7.510310107150531e-07
LogReturn_.NSEI,0.8381027337492202,0.6021093408535787
LogReturn_.NIFMDCP100,0.7095820893332063,0.20764944571409405
LogReturn_.NIFSMCP100,0.6140825458604238,0.15855902276176903
Return3m_.NSEI,0.8444510997811474,0.4213358858402083
Return3m_.NIFMDCP100,0.4663613485672302,0.0667667387870372
Return3m_.NIFSMCP100,0.351601738892501,0.04839820229017633
Return6m_.NSEI,0.2870371416973594,0.12334517483810536
Return6m_.NIFMDCP100,0.0591696155257353,0.017073411541697725
Return6m_.NIFSMCP100,0.038127676083812734,0.016069135351677533
Return12m_.NSEI,0.00026380527529790143,0.0881603682093215
Return12m_.NIFMDCP100,1.4488506529408696e-05,0.018933585804565167
Return12m_.NIFSMCP100,4.307632251343563e-05,0.048953153683131356
Drawdown3m_.NSEI,0.9909127349212412,0.5511260020309559
Drawdown3m_.NIFMDCP100,0.8106464700181417,0.10843820454168185
Drawdown3m_.NIFSMCP100,0.583776169148132,0.132457464717475
Drawdown6m_.NSEI,0.8640095401271508,0.5278092061491693
Drawdown6m_.NIFMDCP100,0.742923236201956,0.06094538064032329
Drawdown6m_.NIFSMCP100,0.12990227351345696,0.013055575393069674
Drawdown12m_.NSEI,0.735920913080299,0.13500033347932439
Drawdown12m_.NIFMDCP100,0.5230118134981718,0.018131663930651243
Drawdown12m_.NIFSMCP100,0.11332580361727906,0.02781225756871586
SemiStd3m_.NSEI,0.9131543331567844,0.2498629852212162
SemiStd3m_.NIFMDCP100,0.7026080084992179,0.014644521088521545
SemiStd3m_.NIFSMCP100,0.3994941835491628,0.020624688766147647
SemiStd6m_.NSEI,0.2524018986199985,0.028440468705797306
SemiStd6m_.NIFMDCP100,0.02686407379126443,2.9976518245211636e-05
SemiStd6m_.NIFSMCP100,0.0032588765878733827,7.732263395965333e-05
SemiStd12m_.NSEI,5.184868029495249e-05,0.023382488375008226
SemiStd12m_.NIFMDCP100,1.8152268577154018e-09,1.7298827512668424e-06
SemiStd12m_.NIFSMCP100,1.0696052488157193e-08,0.000408015972533482
