,CPI,WPI,FDI,REPO
MonthlyPrice_.NSEI,-3006.2436404435757,468.8283503787883,-1460516381770.8325,-289.92342566287874
MonthlyPrice_.NIFMDCP100,-10639.081698446209,1845.039130681818,-5858026845312.501,-937.929900568182
MonthlyPrice_.NIFSMCP100,-3415.7049887841595,665.501281723485,-2181869518229.1658,-240.69656723484843
LogReturn_.NSEI,-0.002449820466616869,-0.012503793760193865,12779484.447816132,0.0014516176142271178
LogReturn_.NIFMDCP100,0.008838398730929604,-0.02892887763213444,1034168.5932408831,0.002352680784356165
LogReturn_.NIFSMCP100,0.012396048171627991,-0.04062526758786623,-15159184.666313857,0.0026608074205669878
Return3m_.NSEI,-0.007838840573259967,-0.05423897893281501,13336843.045937829,0.0028764371163873415
Return3m_.NIFMDCP100,0.02151715367183769,-0.1048800235137355,20994636.303901877,0.005728563392972585
Return3m_.NIFSMCP100,0.03471886177950092,-0.13317352743843985,22839364.52065883,0.0062049096668330105
Return6m_.NSEI,0.010232180540919554,-0.05027281023874917,-7021800.778349998,0.0026358802358859594
Return6m_.NIFMDCP100,0.05315477760968505,-0.13012766804730094,-14067628.644325152,0.009732156492074377
Return6m_.NIFSMCP100,0.07816011382970649,-0.1563249668352102,-6072533.986582072,0.012950663535367852
Return12m_.NSEI,-0.0067868126720627454,-0.02188774121233904,-61934966.877992235,0.019560930370288734
Return12m_.NIFMDCP100,0.02390882246172626,-0.06160716032392321,-92854880.37585203,0.04213203439537599
Return12m_.NIFSMCP100,0.013743723972929845,-0.10703301784953462,-119896056.45506349,0.05018057384196942
Drawdown3m_.NSEI,-0.002351028585028051,-0.016428612860182237,1584511.8663340285,0.0008762727103889245
Drawdown3m_.NIFMDCP100,0.00885408839541086,-0.020979031557361808,-2223750.1174401655,0.001571433246543228
Drawdown3m_.NIFSMCP100,0.012490557512391887,-0.026719224940550436,-14885507.690097384,0.002737508625656546
Drawdown6m_.NSEI,-0.001990731214874475,-0.034177911197800136,7732463.077007144,0.0004053880224975676
Drawdown6m_.NIFMDCP100,0.014887853009023498,-0.03550661137636414,9226254.069447882,0.0021103686163078464
Drawdown6m_.NIFSMCP100,0.02247259019365277,-0.04382849837503333,-3902412.1429805653,0.00478132366118446
Drawdown12m_.NSEI,0.006545581589354967,-0.036702228437797725,8276141.472068502,0.0018640899591360783
Drawdown12m_.NIFMDCP100,0.021972779202206093,-0.03812489541450394,9158143.826118337,0.0033039589203266305
Drawdown12m_.NIFSMCP100,0.021903177935520112,-0.057071557884891856,-10583162.987479169,0.005893516578160905
SemiStd3m_.NSEI,-0.00011941752654722731,0.011207398786297004,-6801291.6178159695,-0.0004935349852340735
SemiStd3m_.NIFMDCP100,-0.009601175283363277,0.0150845198079162,-8119907.204032273,-0.0010333562289620314
SemiStd3m_.NIFSMCP100,-0.014019037860598667,0.019825328581909933,-6358043.466107639,-0.0019847539062121783
SemiStd6m_.NSEI,-0.0015983559451731143,0.005509155217847968,-1372481.3681148589,-0.0007376151228743579
SemiStd6m_.NIFMDCP100,-0.01201295554756973,0.006419870520699197,-719134.7075713885,-0.002263404535352322
SemiStd6m_.NIFSMCP100,-0.01808555171677376,0.0078613950102861,992371.7693264544,-0.0034138045609228658
SemiStd12m_.NSEI,-0.0005677758244842371,0.0016160218760723154,2436135.9893557406,-0.00124973045210834
SemiStd12m_.NIFMDCP100,-0.00749473188006883,0.006069334609945178,4196657.507600789,-0.002962599292524443
SemiStd12m_.NIFSMCP100,-0.00705872643087868,0.01041500782610816,7210986.842602131,-0.003828510657272847
