,CPI,WPI,FDI,REPO
MonthlyPrice_.NSEI,1.8320123196247096e-09,0.6239255408102666,0.2505678737043606,0.04296397399468632
MonthlyPrice_.NIFMDCP100,3.1142177503440394e-08,0.6023321343238321,0.21257163700877824,0.07955342351534167
MonthlyPrice_.NIFSMCP100,4.6367235273514495e-07,0.5802313563464465,0.1708728369026684,0.190494993107724
LogReturn_.NSEI,0.7625859294984276,0.2888435563290459,0.4207318701308598,0.42750850953887465
LogReturn_.NIFMDCP100,0.4558518655650352,0.08976442576972565,0.9647640213744306,0.38018922393745
LogReturn_.NIFSMCP100,0.3954926746173808,0.0514840680168307,0.5984906504826797,0.4211489098603418
Return3m_.NSEI,0.6153631765068661,0.012855099272460313,0.6638920737239768,0.41425920452814546
Return3m_.NIFMDCP100,0.38238667290967077,0.001810048733531744,0.6661488773555391,0.30356838493173033
Return3m_.NIFSMCP100,0.23818821335921014,0.0008571460498221217,0.6960425855544772,0.35429659400726
Return6m_.NSEI,0.5730410844269747,0.05206923879740932,0.8444098524522599,0.5213825201738183
Return6m_.NIFMDCP100,0.11269913951857058,0.005802114495383259,0.8342578410670249,0.20324239606809358
Return6m_.NIFSMCP100,0.06108573088769598,0.00866319554410433,0.942659232412917,0.17669211641381866
Return12m_.NSEI,0.7983295569121647,0.5732645902893343,0.23039739445806395,0.00031880862425781586
Return12m_.NIFMDCP100,0.6649238916872067,0.44501078495961743,0.3901096832232631,0.00016948338665634388
Return12m_.NIFSMCP100,0.8527591941178843,0.32038460748357456,0.4077267584183719,0.0011411458456063173
Drawdown3m_.NSEI,0.6634688857438187,0.03155753362505864,0.8815925322759968,0.472967063413376
Drawdown3m_.NIFMDCP100,0.2908741474129979,0.08301158201834724,0.8936307479404744,0.4097409321516088
Drawdown3m_.NIFSMCP100,0.2476474851721544,0.08749937808674546,0.48651101380650497,0.2638218413227731
Drawdown6m_.NSEI,0.8223228561512457,0.00511500497138595,0.6569253753641124,0.8400763771630892
Drawdown6m_.NIFMDCP100,0.16634957191978939,0.02062082071138205,0.6671142967758832,0.3911518984863833
Drawdown6m_.NIFSMCP100,0.08803555588472589,0.0206460533004178,0.8830083316261534,0.1102426302726307
Drawdown12m_.NSEI,0.46789201432507754,0.003011265299355026,0.6414787899266627,0.3603659079485382
Drawdown12m_.NIFMDCP100,0.055307190835832465,0.021584866632178734,0.6929849450619763,0.21121874601135127
Drawdown12m_.NIFSMCP100,0.13651924178804808,0.005719681533701282,0.7190658570164195,0.07478517360568859
SemiStd3m_.NSEI,0.9719324002079412,0.018479129036620412,0.30392201411112607,0.5196218102972723
SemiStd3m_.NIFMDCP100,0.06892062051359171,0.05028025357442689,0.4441105540756234,0.3975725109321906
SemiStd3m_.NIFSMCP100,0.03113192940460041,0.038136303707429375,0.6314434370321695,0.1883832550940121
SemiStd6m_.NSEI,0.527146506305836,0.13111176572012506,0.7829762044932216,0.19305284872203
SemiStd6m_.NIFMDCP100,0.0044063471392972176,0.3269680470908227,0.9352552516669637,0.020505058927587694
SemiStd6m_.NIFSMCP100,0.0004074921029884049,0.3388777477665794,0.9288024782387083,0.004423081436974563
SemiStd12m_.NSEI,0.7191679324647549,0.4838228719172646,0.4307851600907189,8.04569997663318e-05
SemiStd12m_.NIFMDCP100,0.011372072908399922,0.1778117579216103,0.49198356768568097,3.0337061129870335e-07
SemiStd12m_.NIFSMCP100,0.09422457632651549,0.09201923387006361,0.3925483611141649,3.884485718419484e-06
