,Nifty_Div_Yield,Nifty_EPS,Nifty_PB,Nifty_PE,Nifty_CAPE,US_CAPE
MonthlyPrice_.NSEI,-0.7148545085545605,0.9261424713524177,0.5564594882787647,0.30126450112563896,0.8139633592391511,0.8750442265216745
MonthlyPrice_.NIFMDCP100,-0.741327466729722,0.9197235488821721,0.6215615718700651,0.33172994256676064,0.8454081502047125,0.8694219683058954
MonthlyPrice_.NIFSMCP100,-0.765532941746757,0.8755341026505024,0.7026220254925122,0.3623578445032689,0.8809351945953092,0.8230567864592738
LogReturn_.NSEI,0.30574092065738506,-0.07457663406142061,-0.2561257296512925,-0.44219455114034667,-0.2408565570253649,-0.16015978358353036
LogReturn_.NIFMDCP100,0.34067446891292547,-0.17900153995679313,-0.23729201563698565,-0.3648418237512492,-0.3412340904230446,-0.2831201442326892
LogReturn_.NIFSMCP100,0.3285194136895902,-0.1991375401479538,-0.18474485718549752,-0.3422734755157943,-0.3240401854472275,-0.32595043288067005
Return3m_.NSEI,0.24947823796466911,-0.0610953704395372,-0.15370468197761403,-0.27213254875537973,-0.01664191717593712,-0.1992873627278739
Return3m_.NIFMDCP100,0.36122844345840066,-0.22811414134262636,-0.20668556391664655,-0.23355939269227582,-0.13993890625656993,-0.35582533236608527
Return3m_.NIFSMCP100,0.3672062677332796,-0.25642052453781006,-0.17286033415277025,-0.1972658969226477,-0.15951494963410653,-0.40134357715196267
Return6m_.NSEI,-0.09239769810446823,-0.10480145242307734,0.2314613037975255,0.29183167073653427,0.24823215048352815,-0.13686709907293168
Return6m_.NIFMDCP100,0.12361569628982828,-0.2597185970603409,0.09788664306534389,0.17098668214774312,0.05676282361644998,-0.28656405346158764
Return6m_.NIFSMCP100,0.17105606853645783,-0.2882252970405136,0.08249540694339332,0.14943726964175816,0.007400458291981149,-0.3214313961755451
Return12m_.NSEI,-0.21566637533291436,-0.10142834486987866,0.48130329984016995,0.11148357690164043,0.45330529513073575,-0.06518096824443013
Return12m_.NIFMDCP100,-0.13496732347991341,-0.19260532202289718,0.4831029555642614,0.11532050255783596,0.3579511871125653,-0.17370470586086997
Return12m_.NIFSMCP100,-0.1572673947195757,-0.12390497241096585,0.5172314752037677,0.13581399215020798,0.38982679153218847,-0.12114730881330822
Drawdown3m_.NSEI,0.3057152871513488,-0.03353803341998485,-0.23645574013176615,-0.3689540584278037,-0.1768231010645258,-0.12055770592014368
Drawdown3m_.NIFMDCP100,0.24966011570404018,-0.2062875489683275,-0.1637592783644684,-0.14765458797001807,-0.20828647226141137,-0.28295608079868306
Drawdown3m_.NIFSMCP100,0.19415097439286944,-0.1841967602289767,-0.060681445356971904,-0.11120967831826846,-0.1437791073492511,-0.28612289323016077
Drawdown6m_.NSEI,0.24163604702949446,-0.02810983018172101,-0.14789021309489905,-0.1978785345905505,-0.05764405557141021,-0.17058379009182986
Drawdown6m_.NIFMDCP100,0.26772122148694105,-0.25919471619769446,-0.1582179589806503,-0.08500877944710623,-0.14805574275174713,-0.35580051152004927
Drawdown6m_.NIFSMCP100,0.18663802280837768,-0.33564649636315813,0.009977368863388984,0.029643278780607997,-0.04577286710342835,-0.3907411902202201
Drawdown12m_.NSEI,0.2389210863022375,-0.1674030302786172,-0.12111394894979634,-0.06774275510039202,-0.03046589251415454,-0.2391231300110146
Drawdown12m_.NIFMDCP100,0.2564653910904834,-0.33678666588734957,-0.14041289862818812,0.0030930586794381,-0.12863734209745847,-0.3738534740370981
Drawdown12m_.NIFSMCP100,0.16361186325248583,-0.274510315850657,0.0507240554760886,0.04987464717627456,0.01684741264636922,-0.30652899268178496
SemiStd3m_.NSEI,-0.2364844447927892,0.142222881431456,0.20308021111208585,0.1719289062860209,0.018381769023664608,0.18102751114021237
SemiStd3m_.NIFMDCP100,-0.24693035830430546,0.36551682883723974,0.1932893768269235,-0.01074891504783931,0.11184211469850022,0.3787452390064519
SemiStd3m_.NIFSMCP100,-0.22048687332235997,0.35671134139735233,0.08496988102968148,-0.04881050863304326,0.0953278829665651,0.4201344210868135
SemiStd6m_.NSEI,0.02136457721920984,0.20220771982397334,-0.06559025242357316,-0.14944863488728902,-0.13442992766166179,0.14588935476529313
SemiStd6m_.NIFMDCP100,-0.13445688439569045,0.5403098405732083,0.05381450510754908,-0.1956696817991015,0.10071058083953947,0.39585738901572265
SemiStd6m_.NIFSMCP100,-0.16572364102490822,0.5575146412264544,-0.05558549001798582,-0.24557821935773033,0.11266908915494801,0.44382399059298355
SemiStd12m_.NSEI,0.14453416258688268,0.1671183720768633,-0.40914055539870714,-0.10221753877625465,-0.38435062248632906,0.09546641195820192
SemiStd12m_.NIFMDCP100,-0.12434163436392745,0.5422987992518135,-0.22138458908651132,-0.04305479265885228,-0.04867644915860267,0.4510251755226327
SemiStd12m_.NIFSMCP100,-0.021106362940579857,0.38005740418868694,-0.36841235657288096,-0.0997089614969787,-0.17895949330908584,0.3231180527310347
