,Nifty_Div_Yield,Nifty_EPS,Nifty_PB,Nifty_PE,Nifty_CAPE,US_CAPE
MonthlyPrice_.NSEI,1.403881942252383e-06,1.5543122344752192e-15,0.0005178994272780901,0.07862949159294019,2.7442033090352425e-09,6.234568417085029e-12
MonthlyPrice_.NIFMDCP100,3.504511920660036e-07,5.995204332975845e-15,6.741939324395041e-05,0.05155972711434487,1.6580736783566863e-10,1.233857460647414e-11
MonthlyPrice_.NIFSMCP100,8.449811406130436e-08,5.865530283699627e-12,2.5337755906740256e-06,0.03242087306345498,2.9412028368369647e-12,1.2903138557618377e-09
LogReturn_.NSEI,0.07407595872972417,0.6702740983762541,0.13750924404640807,0.0078204918505147,0.1633796245917727,0.3580647726424935
LogReturn_.NIFMDCP100,0.04521847571822546,0.30354197809926475,0.16989186898025221,0.031166184350847503,0.044843580532346605,0.09934287182503643
LogReturn_.NIFSMCP100,0.05400168767722646,0.25143969904539887,0.28803102817716875,0.04415392145269026,0.05756143985587969,0.0560212291429214
Return3m_.NSEI,0.14837406022850086,0.7273563441788862,0.3780148869151658,0.11376348156383931,0.924405596967828,0.25107587363201667
Return3m_.NIFMDCP100,0.033004834028426355,0.1875084863042058,0.23354509377873467,0.17690788239467037,0.4226803752953203,0.03591847939330983
Return3m_.NIFSMCP100,0.03000905583245128,0.13704135879498658,0.3207018315975363,0.25601431130193353,0.36002877664712707,0.0168673115021849
Return6m_.NSEI,0.5975607443711737,0.5490727062620371,0.1809407235788527,0.08893346923623047,0.15047837632276728,0.4330342351235159
Return6m_.NIFMDCP100,0.4792673693438485,0.13188638815733933,0.5758751187023683,0.32605519600438737,0.7460297793534973,0.09512229548185558
Return6m_.NIFSMCP100,0.32585596445591336,0.0931360385779254,0.6375484654912085,0.3915547799012544,0.9663454984093791,0.05971888917472379
Return12m_.NSEI,0.21340116854936197,0.5620736641879898,0.003421047822393941,0.5237437634961757,0.006242705563216822,0.709887418543536
Return12m_.NIFMDCP100,0.43950700741680304,0.2676438672671413,0.0032856361554329805,0.5094628469897846,0.03474810851932131,0.3183073211926153
Return12m_.NIFSMCP100,0.3669245436893367,0.4782314703735553,0.0014639263068600972,0.4366157820158014,0.02061740738105855,0.4881539766049705
Drawdown3m_.NSEI,0.0741014353412266,0.8483207597425733,0.17144620185340975,0.029176537782606093,0.3095611226631807,0.4902891107454175
Drawdown3m_.NIFMDCP100,0.14806871791479614,0.23446659700909267,0.3472201300324447,0.3972930275485016,0.22986334182115042,0.09954743217966677
Drawdown3m_.NIFSMCP100,0.2637492532497345,0.2894888513498688,0.7291339117388951,0.5247706373312901,0.40993330150018714,0.09565516380409478
Drawdown6m_.NSEI,0.16197978110358413,0.8726511254674483,0.3965318161545115,0.25451089229785295,0.7422197010826521,0.3272135257159907
Drawdown6m_.NIFMDCP100,0.1199756095932174,0.13269550757313775,0.3639985743876841,0.6272972092125437,0.39599755787535984,0.03593233120442019
Drawdown6m_.NIFSMCP100,0.2830319869246529,0.048700951773842815,0.9546371720076599,0.8657652388630259,0.7940168433258707,0.020296316692054894
Drawdown12m_.NSEI,0.16689299259213786,0.336447606395768,0.4882746551781909,0.699006969866323,0.862075294756085,0.16652372197419196
Drawdown12m_.NIFMDCP100,0.13697025141504526,0.04789301097023224,0.4210951480926135,0.9859306472890301,0.4614517908810236,0.02694330596023975
Drawdown12m_.NIFSMCP100,0.3476603103666416,0.1105168908319174,0.7722940709119743,0.7760091746357107,0.9234748707058582,0.07329603604271506
SemiStd3m_.NSEI,0.17139268264007934,0.41507251757707797,0.2419820204309171,0.3233562048173795,0.9165287327255944,0.2980111512262791
SemiStd3m_.NIFMDCP100,0.1526998487384179,0.03083218367848506,0.2659156151455402,0.951133317645559,0.5224010555957328,0.024855869777595574
SemiStd3m_.NIFSMCP100,0.20309714252102284,0.03542685903950771,0.6274553484187879,0.7806703533030057,0.5859401202322605,0.011978437027221789
SemiStd6m_.NSEI,0.9030431813714996,0.2440540871735417,0.7081452454826365,0.3915183511133715,0.4413475438864354,0.40302247457158025
SemiStd6m_.NIFMDCP100,0.44125511910846105,0.0008066364990628738,0.7588197209407812,0.25995902756885525,0.5648583237981977,0.018575546459222103
SemiStd6m_.NIFSMCP100,0.34138687728903605,0.0005027252335043642,0.7511293190382811,0.15503233050577991,0.5193105204998694,0.007569724042763903
SemiStd12m_.NSEI,0.407452897160701,0.33728171662976925,0.014667214210200008,0.5590192050663605,0.02262994695738829,0.585393222343187
SemiStd12m_.NIFMDCP100,0.4766699954285507,0.0007647117975340123,0.20121708601466737,0.8060083330170185,0.7812581027019783,0.006542073911394608
SemiStd12m_.NIFSMCP100,0.9042095917910484,0.02431924179885936,0.029432512911134356,0.5687547788150953,0.3036574483794081,0.058316861244310125
