,IND_VIX,US_VIX
MonthlyPrice_.NSEI,0.11855371992776899,0.06860011363896998
MonthlyPrice_.NIFMDCP100,0.15924524901115897,0.024970749763893706
MonthlyPrice_.NIFSMCP100,0.19018932908871922,-0.04116843309264467
LogReturn_.NSEI,-0.17028832655888224,-0.3074866920722515
LogReturn_.NIFMDCP100,-0.1445985008167158,-0.30705613088367034
LogReturn_.NIFSMCP100,-0.22843953185492752,-0.25500166157633763
Return3m_.NSEI,-0.040185010395319645,-0.4140139430084354
Return3m_.NIFMDCP100,-0.08330136967707327,-0.5158731419547632
Return3m_.NIFSMCP100,-0.1189833700761495,-0.540077053090887
Return6m_.NSEI,-0.03227933803416231,-0.5930420870703265
Return6m_.NIFMDCP100,-0.09673757219783821,-0.6383080283157876
Return6m_.NIFSMCP100,-0.12323055681750004,-0.6457136323176059
Return12m_.NSEI,0.21099186494720873,-0.3903881059075737
Return12m_.NIFMDCP100,0.23633981522703215,-0.5202402609671974
Return12m_.NIFSMCP100,0.22568297457068068,-0.5539407751564
Drawdown3m_.NSEI,-0.11363439649347735,-0.2968818361278424
Drawdown3m_.NIFMDCP100,-0.04609799972413724,-0.3310337917906508
Drawdown3m_.NIFSMCP100,-0.0633880114072483,-0.2572166222800527
Drawdown6m_.NSEI,-0.06453138520421375,-0.35071839012542494
Drawdown6m_.NIFMDCP100,-0.08784521655837503,-0.47856400214093947
Drawdown6m_.NIFSMCP100,-0.11505383076342238,-0.5526558951018441
Drawdown12m_.NSEI,-0.1304200479540108,-0.56763403156378
Drawdown12m_.NIFMDCP100,-0.13784586894332987,-0.5813380070397925
Drawdown12m_.NIFSMCP100,-0.14786717756166048,-0.6123070737186193
SemiStd3m_.NSEI,0.09955484479685185,0.5374685667441186
SemiStd3m_.NIFMDCP100,0.13967502261789877,0.5550935689729928
SemiStd3m_.NIFSMCP100,0.174827847672241,0.5117264228895348
SemiStd6m_.NSEI,0.046354507411265476,0.5782413110528333
SemiStd6m_.NIFMDCP100,0.11317673319710467,0.5343192017044958
SemiStd6m_.NIFSMCP100,0.08812346030497198,0.5101323243321013
SemiStd12m_.NSEI,-0.17193829633481822,0.5519026816109274
SemiStd12m_.NIFMDCP100,-0.07113803801456163,0.572461464287345
SemiStd12m_.NIFSMCP100,-0.10356815044900725,0.5733899626627439
