,IND_VIX,US_VIX
MonthlyPrice_.NSEI,869.6710151260509,587.4784970588238
MonthlyPrice_.NIFMDCP100,4279.465953361343,783.3971794117664
MonthlyPrice_.NIFSMCP100,1703.0063546218482,-430.3499823529408
LogReturn_.NSEI,-0.014932662296846876,-0.0314779194776281
LogReturn_.NIFMDCP100,-0.018475854692718983,-0.04580214852001494
LogReturn_.NIFSMCP100,-0.035841454358189945,-0.046707293509376115
Return3m_.NSEI,-0.006703048113370582,-0.08062143960505044
Return3m_.NIFMDCP100,-0.021985552965542283,-0.15894815758838962
Return3m_.NIFSMCP100,-0.037703887865705374,-0.19979422203356306
Return6m_.NSEI,-0.00625053777719955,-0.13406197393890298
Return6m_.NIFMDCP100,-0.035296119369068533,-0.27188760696578423
Return6m_.NIFSMCP100,-0.056576548640111385,-0.3460870306417679
Return12m_.NSEI,0.060219603146891384,-0.13007567415001883
Return12m_.NIFMDCP100,0.1419577570023988,-0.3647989046274226
Return12m_.NIFSMCP100,0.18234616002483744,-0.5225026397384204
Drawdown3m_.NSEI,-0.006625458298484296,-0.020207708669168333
Drawdown3m_.NIFMDCP100,-0.004187142994493628,-0.035102283551587385
Drawdown3m_.NIFSMCP100,-0.007413326108230956,-0.0351182072999714
Drawdown6m_.NSEI,-0.006181712703892733,-0.039221454794714596
Drawdown6m_.NIFMDCP100,-0.01034592576072386,-0.06579889453983151
Drawdown6m_.NIFSMCP100,-0.01649706834831141,-0.09250981812628054
Drawdown12m_.NSEI,-0.012847699607085481,-0.06527949302667636
Drawdown12m_.NIFMDCP100,-0.017584651566802185,-0.08657570945530041
Drawdown12m_.NIFSMCP100,-0.02355341394991553,-0.11386196853855834
SemiStd3m_.NSEI,0.0036546408680051953,0.023033646988585697
SemiStd3m_.NIFMDCP100,0.008134056002814864,0.03773826531501077
SemiStd3m_.NIFSMCP100,0.012636061753788196,0.043178375687464944
SemiStd6m_.NSEI,0.001253348234479926,0.01825224242948843
SemiStd6m_.NIFMDCP100,0.005416672211921331,0.029854067643036473
SemiStd6m_.NIFSMCP100,0.00529547924247398,0.035786885269051806
SemiStd12m_.NSEI,-0.002894434874022939,0.010846284628255055
SemiStd12m_.NIFMDCP100,-0.002470682160718927,0.02321071842789536
SemiStd12m_.NIFSMCP100,-0.0050426831731115096,0.032592140072152324
