,IND_VIX,US_VIX
MonthlyPrice_.NSEI,0.49758181212497554,0.6953785901910523
MonthlyPrice_.NIFMDCP100,0.36085212713714165,0.8867752374038305
MonthlyPrice_.NIFSMCP100,0.27380664131670995,0.814356319439796
LogReturn_.NSEI,0.3280646117714574,0.0723568778778958
LogReturn_.NIFMDCP100,0.4072419373273437,0.07277793410702094
LogReturn_.NIFSMCP100,0.18686274552784665,0.13930409494090723
Return3m_.NSEI,0.8187164540030134,0.013418606991105309
Return3m_.NIFMDCP100,0.6342538697336333,0.0015142339491243106
Return3m_.NIFSMCP100,0.49601364979140694,0.0008116738145156344
Return6m_.NSEI,0.8539510799179544,0.00017380768590036233
Return6m_.NIFMDCP100,0.5803854082258484,3.697693874160635e-05
Return6m_.NIFSMCP100,0.480648365980171,2.8027607626102125e-05
Return12m_.NSEI,0.22373139262328623,0.020419805619405818
Return12m_.NIFMDCP100,0.17166246268537555,0.001357687063893387
Return12m_.NIFSMCP100,0.19238291635684757,0.0005557774188800213
Drawdown3m_.NSEI,0.5157144362463979,0.08329517420393806
Drawdown3m_.NIFMDCP100,0.7925854833320947,0.05208159880666163
Drawdown3m_.NIFSMCP100,0.7175363341226828,0.13578368070082036
Drawdown6m_.NSEI,0.7126554245990486,0.03886138488419477
Drawdown6m_.NIFMDCP100,0.6158102249851543,0.0036364520064844363
Drawdown6m_.NIFSMCP100,0.5104490622352518,0.0005760313205374068
Drawdown12m_.NSEI,0.45521317885878454,0.00037606158168213
Drawdown12m_.NIFMDCP100,0.42972009160230606,0.00024997889705469234
Drawdown12m_.NIFSMCP100,0.3966061977843398,9.25979455652648e-05
SemiStd3m_.NSEI,0.5693554022487461,0.0008700506010537179
SemiStd3m_.NIFMDCP100,0.423564354218779,0.0005381461945792587
SemiStd3m_.NIFSMCP100,0.31513961849387373,0.001677325267415375
SemiStd6m_.NSEI,0.7914567069100491,0.000274579169578848
SemiStd6m_.NIFMDCP100,0.5174178433699099,0.0009454522077654293
SemiStd6m_.NIFSMCP100,0.6146881564766229,0.0017440035586127056
SemiStd12m_.NSEI,0.32332937721340405,0.0005882064933093734
SemiStd12m_.NIFMDCP100,0.6846771773199296,0.0003263408566280823
SemiStd12m_.NIFSMCP100,0.5538097700326019,0.00031747994480091357
