X_Category,X_Variable,Y_Variable_Group,Y_Variable,COVID,Derivatives_Expansion,GFC,Post_GFC,Recent
commodity,BTC,Drawdown12m,Drawdown12m_.NIFMDCP100,0.5621464905512399,0.464396523204585,,,-0.36737870053976507
commodity,BTC,Drawdown12m,Drawdown12m_.NIFSMCP100,0.662039590489929,0.48625521998400756,,,-0.33991764249308143
commodity,BTC,Drawdown12m,Drawdown12m_.NSEI,0.5751658503438591,0.4247500251708167,,,-0.23873668770002493
commodity,BTC,Drawdown3m,Drawdown3m_.NIFMDCP100,0.3180111392977201,0.10198338986853693,,,-0.22475076794527615
commodity,BTC,Drawdown3m,Drawdown3m_.NIFSMCP100,0.280896596503327,0.09814124740313222,,,-0.24718245847741532
commodity,BTC,Drawdown3m,Drawdown3m_.NSEI,0.3463184740133431,0.12181140366900689,,,-0.07192816668226559
commodity,BTC,Drawdown6m,Drawdown6m_.NIFMDCP100,0.4660120187373762,0.4089435118756311,,,-0.29671741820636577
commodity,BTC,Drawdown6m,Drawdown6m_.NIFSMCP100,0.4608213221516585,0.4129954060289455,,,-0.3928686119833658
commodity,BTC,Drawdown6m,Drawdown6m_.NSEI,0.46314399031769293,0.4247500251708167,,,-0.10641030366143886
commodity,BTC,LogReturn,LogReturn_.NIFMDCP100,0.08696827888281794,0.14671452050069242,,,-0.22018945658707337
commodity,BTC,LogReturn,LogReturn_.NIFSMCP100,0.08931249271503873,0.07835360074719593,,,-0.2686801038889883
commodity,BTC,LogReturn,LogReturn_.NSEI,0.0848690922636702,0.15770860036152617,,,-0.09370408225213225
commodity,BTC,Return12m,Return12m_.NIFMDCP100,0.8439047432121571,0.7379845077081023,,,-0.3098745621805453
commodity,BTC,Return12m,Return12m_.NIFSMCP100,0.8206255922006975,0.6791262826193377,,,-0.2450300584279196
commodity,BTC,Return12m,Return12m_.NSEI,0.8396252416126332,0.7727435496358493,,,-0.2131119041157336
commodity,BTC,Return3m,Return3m_.NIFMDCP100,0.220981704241742,0.4760001938011228,,,-0.294057010415993
commodity,BTC,Return3m,Return3m_.NIFSMCP100,0.16651975464881125,0.39612270827993634,,,-0.3259226516480618
commodity,BTC,Return3m,Return3m_.NSEI,0.21545787065159208,0.41778136189948095,,,-0.15154887080878326
commodity,BTC,Return6m,Return6m_.NIFMDCP100,0.4674706503800459,0.5349608863196157,,,-0.365839179933519
commodity,BTC,Return6m,Return6m_.NIFSMCP100,0.4276433278711645,0.5010648372668418,,,-0.39504292126076196
commodity,BTC,Return6m,Return6m_.NSEI,0.4753140273937954,0.31117866812285366,,,-0.1798264508344347
commodity,BTC,SemiStd12m,SemiStd12m_.NIFMDCP100,-0.6580586297853269,-0.6816356330950019,,,0.6231181730404517
commodity,BTC,SemiStd12m,SemiStd12m_.NIFSMCP100,-0.6758228576375737,-0.6932864325673838,,,0.47189718254446367
commodity,BTC,SemiStd12m,SemiStd12m_.NSEI,-0.6042111099512778,-0.6935910736436125,,,0.2963128775089049
commodity,BTC,SemiStd3m,SemiStd3m_.NIFMDCP100,-0.39980080438596843,-0.25303615515597,,,0.35560166776135194
commodity,BTC,SemiStd3m,SemiStd3m_.NIFSMCP100,-0.3645552038147407,-0.28807391895849244,,,0.3960769407666053
commodity,BTC,SemiStd3m,SemiStd3m_.NSEI,-0.4328492073004015,-0.2909892869787626,,,0.14395081965933995
commodity,BTC,SemiStd6m,SemiStd6m_.NIFMDCP100,-0.6011164324004613,-0.5232463607559381,,,0.5942539484921034
commodity,BTC,SemiStd6m,SemiStd6m_.NIFSMCP100,-0.5846575142986666,-0.5164146755722588,,,0.618445314175841
commodity,BTC,SemiStd6m,SemiStd6m_.NSEI,-0.6001924154536684,-0.37842440821398987,,,0.2828457320041468
commodity,Crude,Drawdown12m,Drawdown12m_.NIFMDCP100,0.49766853281455187,-0.38730671466578026,,,0.31026502176414233
commodity,Crude,Drawdown12m,Drawdown12m_.NIFSMCP100,0.22421344336565457,-0.35760060875219846,,,0.35005093999657094
commodity,Crude,Drawdown12m,Drawdown12m_.NSEI,0.5024253442374026,-0.04077788864122013,,,0.22886561239617997
commodity,Crude,Drawdown3m,Drawdown3m_.NIFMDCP100,0.26272792073772894,-0.567219946502687,,,0.1206685437499753
commodity,Crude,Drawdown3m,Drawdown3m_.NIFSMCP100,0.17261687661749378,-0.6085119706478227,,,0.11368953437146678
commodity,Crude,Drawdown3m,Drawdown3m_.NSEI,0.2881601214471207,-0.21694507664149015,,,0.015100955748942352
commodity,Crude,Drawdown6m,Drawdown6m_.NIFMDCP100,0.41569467387591263,-0.4157868562030354,,,0.20958746601174832
commodity,Crude,Drawdown6m,Drawdown6m_.NIFSMCP100,0.2183417794319277,-0.4997799537883281,,,0.3634985723404257
commodity,Crude,Drawdown6m,Drawdown6m_.NSEI,0.4137199054532794,-0.04077788864122013,,,0.049816959062659254
commodity,Crude,LogReturn,LogReturn_.NIFMDCP100,0.013458369398500642,-0.3199984299865314,,,0.047929518942140245
commodity,Crude,LogReturn,LogReturn_.NIFSMCP100,-0.04083456947708532,-0.46641605247185886,,,0.12034946529885822
commodity,Crude,LogReturn,LogReturn_.NSEI,0.00918422928513771,-0.10534381226845717,,,-0.018278034179149857
commodity,Crude,Return12m,Return12m_.NIFMDCP100,0.2553256248331351,-0.16376397641985477,,,0.5100935943700035
commodity,Crude,Return12m,Return12m_.NIFSMCP100,0.17590454577639933,-0.21755265035040924,,,0.5148472301241409
commodity,Crude,Return12m,Return12m_.NSEI,0.28169790847780574,0.0016865154892457036,,,0.3265216650135215
commodity,Crude,Return3m,Return3m_.NIFMDCP100,-0.03569912294192449,-0.3299169343199105,,,0.19839909748046788
commodity,Crude,Return3m,Return3m_.NIFSMCP100,-0.14497663933882107,-0.49131815741775464,,,0.2634780487028307
commodity,Crude,Return3m,Return3m_.NSEI,0.015181845182229585,0.12897783603902097,,,0.0020201416880013118
commodity,Crude,Return6m,Return6m_.NIFMDCP100,-0.04977316734574435,-0.4904393537416507,,,0.5180110483584444
commodity,Crude,Return6m,Return6m_.NIFSMCP100,-0.14871449301985692,-0.5062368807434329,,,0.5592496810473196
commodity,Crude,Return6m,Return6m_.NSEI,-0.0012878536994981162,-0.1707635162182826,,,0.3670261614361594
commodity,Crude,SemiStd12m,SemiStd12m_.NIFMDCP100,-0.6949208296033952,0.11397817022247544,,,-0.7318904518442183
commodity,Crude,SemiStd12m,SemiStd12m_.NIFSMCP100,-0.6370258413775943,0.07566009514795188,,,-0.6332403035487307
commodity,Crude,SemiStd12m,SemiStd12m_.NSEI,-0.7360087544740798,0.095982520376387,,,-0.5108865177425607
commodity,Crude,SemiStd3m,SemiStd3m_.NIFMDCP100,-0.31305799125475464,0.5474319773428126,,,-0.32848076099374107
commodity,Crude,SemiStd3m,SemiStd3m_.NIFSMCP100,-0.24466549328979628,0.5403385498169447,,,-0.2870541222792407
commodity,Crude,SemiStd3m,SemiStd3m_.NSEI,-0.3815674569676348,0.015304551734308986,,,-0.14184969325217786
commodity,Crude,SemiStd6m,SemiStd6m_.NIFMDCP100,-0.43196353136697174,0.3623565642122374,,,-0.5879266910143943
commodity,Crude,SemiStd6m,SemiStd6m_.NIFSMCP100,-0.3568384292745091,0.3111287639133555,,,-0.6076585460704439
commodity,Crude,SemiStd6m,SemiStd6m_.NSEI,-0.5055745515694985,0.3009466415034163,,,-0.3917338449813104
commodity,Gold,Drawdown12m,Drawdown12m_.NIFMDCP100,0.22284307292084152,0.5878392255760057,,,-0.29693957621542444
commodity,Gold,Drawdown12m,Drawdown12m_.NIFSMCP100,0.3275027802945168,0.6854569276301882,,,-0.3519597148338959
commodity,Gold,Drawdown12m,Drawdown12m_.NSEI,0.2493511261039104,0.22495149292159397,,,-0.15513433664168033
commodity,Gold,Drawdown3m,Drawdown3m_.NIFMDCP100,0.39037088355177496,0.24186061670411116,,,-0.1385893115733212
commodity,Gold,Drawdown3m,Drawdown3m_.NIFSMCP100,0.32224667449286304,0.35465783006150847,,,-0.16156899674627437
commodity,Gold,Drawdown3m,Drawdown3m_.NSEI,0.4477949700528426,0.1698820965834085,,,0.014142753020162649
commodity,Gold,Drawdown6m,Drawdown6m_.NIFMDCP100,0.3196659113821714,0.4267209788837218,,,-0.21428485397221292
commodity,Gold,Drawdown6m,Drawdown6m_.NIFSMCP100,0.2684738870016068,0.5831553458776988,,,-0.38917784898358865
commodity,Gold,Drawdown6m,Drawdown6m_.NSEI,0.40636363078919957,0.22495149292159397,,,-0.00658514101845178
commodity,Gold,LogReturn,LogReturn_.NIFMDCP100,0.2714056982974026,0.06308037705538067,,,-0.11608738689670084
commodity,Gold,LogReturn,LogReturn_.NIFSMCP100,0.3077887803568402,0.16303710274444774,,,-0.16158256634550403
commodity,Gold,LogReturn,LogReturn_.NSEI,0.32490477459651307,0.08785350791813393,,,-0.022582463991413983
commodity,Gold,Return12m,Return12m_.NIFMDCP100,0.17239094047877643,0.5892148616543809,,,-0.4736554584326792
commodity,Gold,Return12m,Return12m_.NIFSMCP100,0.1896274135578176,0.64525485586118,,,-0.4268976932373083
commodity,Gold,Return12m,Return12m_.NSEI,0.15712102278981718,0.42295742364301214,,,-0.35100845307549255
commodity,Gold,Return3m,Return3m_.NIFMDCP100,0.34379086941386333,0.3384836832674676,,,-0.25843863126285505
commodity,Gold,Return3m,Return3m_.NIFSMCP100,0.3809541733657779,0.4720198916398819,,,-0.31120265131437713
commodity,Gold,Return3m,Return3m_.NSEI,0.45038736599015256,0.10459020720453742,,,-0.09053116868220246
commodity,Gold,Return6m,Return6m_.NIFMDCP100,0.13504805549561563,0.6708629886693203,,,-0.3822110127456394
commodity,Gold,Return6m,Return6m_.NIFSMCP100,0.21330157819819162,0.6914532761549252,,,-0.4216671964680604
commodity,Gold,Return6m,Return6m_.NSEI,0.20220871210378935,0.24975207220732612,,,-0.22202642591306748
commodity,Gold,SemiStd12m,SemiStd12m_.NIFMDCP100,0.06878834289667002,-0.7018728909519455,,,0.7524182004674884
commodity,Gold,SemiStd12m,SemiStd12m_.NIFSMCP100,0.07737869008346043,-0.6945926956248676,,,0.6556641796311318
commodity,Gold,SemiStd12m,SemiStd12m_.NSEI,0.0966177049667188,-0.5616593262689167,,,0.4175113957291026
commodity,Gold,SemiStd3m,SemiStd3m_.NIFMDCP100,-0.3675092751239753,-0.5823778816511423,,,0.3015335402744459
commodity,Gold,SemiStd3m,SemiStd3m_.NIFSMCP100,-0.32195744405613763,-0.6870141731456064,,,0.35760260402361893
commodity,Gold,SemiStd3m,SemiStd3m_.NSEI,-0.4340294382316858,-0.14963969352032186,,,0.10051555134508669
commodity,Gold,SemiStd6m,SemiStd6m_.NIFMDCP100,-0.04302086718922824,-0.6849508286175899,,,0.5185357107572771
commodity,Gold,SemiStd6m,SemiStd6m_.NIFSMCP100,-0.03748275705847738,-0.7045190540649838,,,0.6090129174228257
commodity,Gold,SemiStd6m,SemiStd6m_.NSEI,-0.04943284486073761,-0.4081278834803897,,,0.23415443531543095
commodity,Silver,Drawdown12m,Drawdown12m_.NIFMDCP100,0.6244331386191525,0.7782954777417825,,,-0.16759875144801245
commodity,Silver,Drawdown12m,Drawdown12m_.NIFSMCP100,0.7679200109811722,0.8720452497503886,,,-0.24155139007914617
commodity,Silver,Drawdown12m,Drawdown12m_.NSEI,0.6389816279890678,0.5510504413623294,,,-0.049832446736787134
commodity,Silver,Drawdown3m,Drawdown3m_.NIFMDCP100,0.5866391643016838,0.30515358107589674,,,-0.08566562078995556
commodity,Silver,Drawdown3m,Drawdown3m_.NIFSMCP100,0.563121163824881,0.38588307613545714,,,-0.11008273298228535
commodity,Silver,Drawdown3m,Drawdown3m_.NSEI,0.6066452368367926,0.3311060277999408,,,0.028529127010256432
commodity,Silver,Drawdown6m,Drawdown6m_.NIFMDCP100,0.6690975080470312,0.6286109679901751,,,-0.12808329604297836
commodity,Silver,Drawdown6m,Drawdown6m_.NIFSMCP100,0.6969028424446495,0.7622895044471719,,,-0.2893202308294713
commodity,Silver,Drawdown6m,Drawdown6m_.NSEI,0.7034347746960523,0.5510504413623294,,,0.026534667695971702
commodity,Silver,LogReturn,LogReturn_.NIFMDCP100,0.328551992777195,0.08006994389303834,,,-0.08692672749560482
commodity,Silver,LogReturn,LogReturn_.NIFSMCP100,0.3905040318597447,0.15899651735808543,,,-0.1376215833440411
commodity,Silver,LogReturn,LogReturn_.NSEI,0.30089684059832067,0.14980592818966953,,,-0.00868638031420752
commodity,Silver,Return12m,Return12m_.NIFMDCP100,0.6266999397456595,0.7699473080933991,,,-0.4371626956532391
commodity,Silver,Return12m,Return12m_.NIFSMCP100,0.6371238197540157,0.8294472260538569,,,-0.395619816224072
commodity,Silver,Return12m,Return12m_.NSEI,0.6229350081435439,0.6133409968226621,,,-0.3324295980524293
commodity,Silver,Return3m,Return3m_.NIFMDCP100,0.6315405423529102,0.5461662615532799,,,-0.2312449363712629
commodity,Silver,Return3m,Return3m_.NIFSMCP100,0.6696497141338447,0.6840744334969187,,,-0.2832097743500357
commodity,Silver,Return3m,Return3m_.NSEI,0.6558574487274493,0.434122198425648,,,-0.08905647363033849
commodity,Silver,Return6m,Return6m_.NIFMDCP100,0.6302633660781654,0.72852837248228,,,-0.28581424619554213
commodity,Silver,Return6m,Return6m_.NIFSMCP100,0.6563383304072287,0.8127453773574048,,,-0.3279370929338766
commodity,Silver,Return6m,Return6m_.NSEI,0.6584862712669265,0.5200297910268964,,,-0.1422984489330244
commodity,Silver,SemiStd12m,SemiStd12m_.NIFMDCP100,-0.18365746861779117,-0.8352229625685229,,,0.6687868443299145
commodity,Silver,SemiStd12m,SemiStd12m_.NIFSMCP100,-0.20075823622667294,-0.8163806489224086,,,0.6045806619620948
commodity,Silver,SemiStd12m,SemiStd12m_.NSEI,-0.1283994377186686,-0.7793013122415443,,,0.346245236711931
commodity,Silver,SemiStd3m,SemiStd3m_.NIFMDCP100,-0.6733803193367611,-0.7214031880606742,,,0.1888616931297706
commodity,Silver,SemiStd3m,SemiStd3m_.NIFSMCP100,-0.6527475663271904,-0.8151165091796595,,,0.2585671641264223
commodity,Silver,SemiStd3m,SemiStd3m_.NSEI,-0.6960754799650428,-0.5119468171582701,,,0.028771221913853524
commodity,Silver,SemiStd6m,SemiStd6m_.NIFMDCP100,-0.479421972856078,-0.8564616937013418,,,0.33366820598463676
commodity,Silver,SemiStd6m,SemiStd6m_.NIFSMCP100,-0.4956832840539707,-0.8804904567320521,,,0.4518333850689716
commodity,Silver,SemiStd6m,SemiStd6m_.NSEI,-0.4462856847849051,-0.7170018515416217,,,0.09378767689705016
fixed_income,Ind_spread,Drawdown12m,Drawdown12m_.NIFMDCP100,-0.0373494240026756,-0.10540969673197881,0.5219483694007545,0.4062678863601875,-0.11167897064401602
fixed_income,Ind_spread,Drawdown12m,Drawdown12m_.NIFSMCP100,0.30768589187033074,-0.053405155635753335,0.39085075386141,0.4964959539983381,-0.2724500996379043
fixed_income,Ind_spread,Drawdown12m,Drawdown12m_.NSEI,-0.000846936912210239,0.05030680142246003,0.4876595529238008,0.18803910377208036,-0.05910397132425544
fixed_income,Ind_spread,Drawdown3m,Drawdown3m_.NIFMDCP100,0.12459698894645364,-0.0634439784293134,0.5844026946160793,0.22892657464249738,-0.04200615828068765
fixed_income,Ind_spread,Drawdown3m,Drawdown3m_.NIFSMCP100,0.09338266385234965,-0.006543733481017021,0.5575181368480098,0.2818894226454615,-0.09587634672962095
fixed_income,Ind_spread,Drawdown3m,Drawdown3m_.NSEI,0.19717691723257463,0.08510335382870633,0.557414125396757,0.06796764050127103,0.0019977205034107243
fixed_income,Ind_spread,Drawdown6m,Drawdown6m_.NIFMDCP100,-0.01467010556857057,-0.11444658511918937,0.6728720617992839,0.32286012044386364,-0.05748123091868554
fixed_income,Ind_spread,Drawdown6m,Drawdown6m_.NIFSMCP100,0.055428558672703965,-0.05476632617138374,0.5742799226487058,0.41199518313800465,-0.2610133837361738
fixed_income,Ind_spread,Drawdown6m,Drawdown6m_.NSEI,0.04330669344206787,0.08880894188467338,0.6325023860935792,0.1589779435570246,0.030034604919203352
fixed_income,Ind_spread,LogReturn,LogReturn_.NIFMDCP100,0.23657260115197373,0.005353348373322747,0.4923725295826606,0.10112703069485324,-0.06525267381727996
fixed_income,Ind_spread,LogReturn,LogReturn_.NIFSMCP100,0.24324163080860067,0.011217787636864601,0.49621329017806026,0.11291815968329084,-0.08827372452589755
fixed_income,Ind_spread,LogReturn,LogReturn_.NSEI,0.2633797740037892,0.015082750859388773,0.48685715464207413,0.019965679650243685,-0.035826604695345224
fixed_income,Ind_spread,Return12m,Return12m_.NIFMDCP100,0.33475283569094416,-0.27036970881421674,0.23460419334925248,0.6716763618751606,-0.6625903484387411
fixed_income,Ind_spread,Return12m,Return12m_.NIFSMCP100,0.40360845314757515,-0.07027439887153875,0.15417298405666457,0.6163648289889269,-0.6341431260877667
fixed_income,Ind_spread,Return12m,Return12m_.NSEI,0.3024235280216882,-0.09563303975937192,0.23477507249498256,0.5434716213552044,-0.5795657085463372
