X_Category,X_Variable,Y_Variable_Group,Y_Variable,COVID,Derivatives_Expansion,GFC,Post_GFC,Recent
commodity,BTC,Drawdown12m,Drawdown12m_.NIFMDCP100,0.00035963453316134597,0.06038244427877881,,,0.029926065806810342
commodity,BTC,Drawdown12m,Drawdown12m_.NIFSMCP100,1.0949842197849335e-05,0.047800368434332,,,0.04572948282387812
commodity,BTC,Drawdown12m,Drawdown12m_.NSEI,0.00024305305926564102,0.08923107862215862,,,0.16723052556358753
commodity,BTC,Drawdown3m,Drawdown3m_.NIFMDCP100,0.058741114167640385,0.696922650486326,,,0.19427531796331987
commodity,BTC,Drawdown3m,Drawdown3m_.NIFSMCP100,0.09701468941699076,0.7078601071187696,,,0.15226779977374583
commodity,BTC,Drawdown3m,Drawdown3m_.NSEI,0.03853712463123338,0.6414112131852336,,,0.681357688563176
commodity,BTC,Drawdown6m,Drawdown6m_.NIFMDCP100,0.004176547676692177,0.10312639599732876,,,0.0834742810278224
commodity,BTC,Drawdown6m,Drawdown6m_.NIFSMCP100,0.0046776635863192695,0.09942660756830657,,,0.019565339882460453
commodity,BTC,Drawdown6m,Drawdown6m_.NSEI,0.004447350769414715,0.08923107862215862,,,0.5429219843327198
commodity,BTC,LogReturn,LogReturn_.NIFMDCP100,0.6140144105096987,0.5741853635614445,,,0.203722694103877
commodity,BTC,LogReturn,LogReturn_.NIFSMCP100,0.6044581500198247,0.7650069603364889,,,0.11860421234052332
commodity,BTC,LogReturn,LogReturn_.NSEI,0.6226253371357462,0.5454961708770738,,,0.5923674998318007
commodity,BTC,Return12m,Return12m_.NIFMDCP100,1.0165757124980246e-10,0.0007194351867634285,,,0.07005613758760632
commodity,BTC,Return12m,Return12m_.NIFSMCP100,8.930298722731322e-10,0.002716950314456401,,,0.15598523714473322
commodity,BTC,Return12m,Return12m_.NSEI,1.5549472820453047e-10,0.00027631714501863414,,,0.21900484351000493
commodity,BTC,Return3m,Return3m_.NIFMDCP100,0.19525876249963736,0.053430368870501566,,,0.08641389492908069
commodity,BTC,Return3m,Return3m_.NIFSMCP100,0.33171896453164473,0.11547720202488132,,,0.05604339188806606
commodity,BTC,Return3m,Return3m_.NSEI,0.2069457256324143,0.09517982685542714,,,0.384820239834192
commodity,BTC,Return6m,Return6m_.NIFMDCP100,0.004044385526434047,0.026919255779951357,,,0.030673717296938463
commodity,BTC,Return6m,Return6m_.NIFSMCP100,0.009278730436547367,0.04047244430043495,,,0.01884103947844884
commodity,BTC,Return6m,Return6m_.NSEI,0.0033940650123021054,0.2240741495813805,,,0.3012822022035828
commodity,BTC,SemiStd12m,SemiStd12m_.NIFMDCP100,1.2897123450095194e-05,0.0025827974108043605,,,6.38516846265258e-05
commodity,BTC,SemiStd12m,SemiStd12m_.NIFSMCP100,6.095082622392667e-06,0.00202875759506993,,,0.004210445317698985
commodity,BTC,SemiStd12m,SemiStd12m_.NSEI,9.531146779639954e-05,0.002015698728279336,,,0.08391622903626916
commodity,BTC,SemiStd3m,SemiStd3m_.NIFMDCP100,0.015697934804927982,0.3271362648302516,,,0.03604345709911527
commodity,BTC,SemiStd3m,SemiStd3m_.NIFSMCP100,0.02881670843230788,0.2621745760665122,,,0.01850451534863673
commodity,BTC,SemiStd3m,SemiStd3m_.NSEI,0.008369527678003807,0.25715929719436303,,,0.4093684649556484
commodity,BTC,SemiStd6m,SemiStd6m_.NIFMDCP100,0.0001057647263835726,0.03113116584719533,,,0.0001672545612738663
commodity,BTC,SemiStd6m,SemiStd6m_.NIFSMCP100,0.0001807486416129933,0.033810704375669465,,,7.510669551402671e-05
commodity,BTC,SemiStd6m,SemiStd6m_.NSEI,0.00010908002161813535,0.1341862902409252,,,0.09968519926014263
commodity,Crude,Drawdown12m,Drawdown12m_.NIFMDCP100,0.002012560233423999,0.12455163430117722,,,0.06968543347515421
commodity,Crude,Drawdown12m,Drawdown12m_.NIFSMCP100,0.18863968808799947,0.15876667172980619,,,0.03926003370894149
commodity,Crude,Drawdown12m,Drawdown12m_.NSEI,0.001792518462774062,0.8765149696660195,,,0.18601955503267242
commodity,Crude,Drawdown3m,Drawdown3m_.NIFMDCP100,0.12160472464815131,0.01756711567270841,,,0.48988736754075135
commodity,Crude,Drawdown3m,Drawdown3m_.NIFSMCP100,0.3140634195569021,0.009539347324207359,,,0.5155094024445299
commodity,Crude,Drawdown3m,Drawdown3m_.NSEI,0.08832375234726708,0.40293894375092254,,,0.931387952492176
commodity,Crude,Drawdown6m,Drawdown6m_.NIFMDCP100,0.011688394582144435,0.09693352247968434,,,0.2269004790276974
commodity,Crude,Drawdown6m,Drawdown6m_.NIFSMCP100,0.2007850976661818,0.04107213202314952,,,0.03183964933164707
commodity,Crude,Drawdown6m,Drawdown6m_.NSEI,0.012133694260974215,0.8765149696660195,,,0.7762616666668203
commodity,Crude,LogReturn,LogReturn_.NIFMDCP100,0.9379045630938301,0.21052048188244665,,,0.784535000301587
commodity,Crude,LogReturn,LogReturn_.NIFSMCP100,0.8130763799418275,0.0591267388690091,,,0.4910443571672569
commodity,Crude,LogReturn,LogReturn_.NSEI,0.9576031089599077,0.687402480974427,,,0.9169981618085774
commodity,Crude,Return12m,Return12m_.NIFMDCP100,0.13285834222952286,0.5299724552113174,,,0.0017456520549317123
commodity,Crude,Return12m,Return12m_.NIFSMCP100,0.3047931145501406,0.40159037912318096,,,0.001553229674128076
commodity,Crude,Return12m,Return12m_.NSEI,0.09602505199827238,0.9948744503966165,,,0.055567063950844764
commodity,Crude,Return3m,Return3m_.NIFMDCP100,0.836243252816848,0.19592658602487623,,,0.2532380378045813
commodity,Crude,Return3m,Return3m_.NIFSMCP100,0.39887555462306734,0.04519121344232446,,,0.12618664747306885
commodity,Crude,Return3m,Return3m_.NSEI,0.9299710594237884,0.6217637702058383,,,0.9908107493315754
commodity,Crude,Return6m,Return6m_.NIFMDCP100,0.7731338043762483,0.045636211680911476,,,0.0014357218364156044
commodity,Crude,Return6m,Return6m_.NIFSMCP100,0.3866961066167307,0.03812545630112307,,,0.0004786308628028646
commodity,Crude,Return6m,Return6m_.NSEI,0.9940522962796079,0.5122831319373118,,,0.030095940300890467
commodity,Crude,SemiStd12m,SemiStd12m_.NIFMDCP100,2.567487996429918e-06,0.6631467345445778,,,5.854565290341895e-07
commodity,Crude,SemiStd12m,SemiStd12m_.NIFSMCP100,2.9475223084274305e-05,0.7728824795396405,,,4.451275450478853e-05
commodity,Crude,SemiStd12m,SemiStd12m_.NSEI,3.132088093327212e-07,0.7140293057539022,,,0.0017121729704610011
commodity,Crude,SemiStd3m,SemiStd3m_.NIFMDCP100,0.06301344680907595,0.022933668973883936,,,0.05403163818623047
commodity,Crude,SemiStd3m,SemiStd3m_.NIFSMCP100,0.15039215018486507,0.02513989037331643,,,0.09453301305825557
commodity,Crude,SemiStd3m,SemiStd3m_.NSEI,0.02166125432233379,0.9535106982787347,,,0.416310293509643
commodity,Crude,SemiStd6m,SemiStd6m_.NIFMDCP100,0.008518609566773527,0.15290235799576846,,,0.00020407765400531908
